"LEAID","FIPST","YEAR","V33","A09","C10","C25","OPERATIONAL_SCHOOLS","SCHLEV","AGCHRT","GSLO","GSHI","LOCALE","URBANICITY"
"4700690","47",7,4804,818000,24000,1217000,8,"03","3","PK","12","13","Urban"
"4700720","47",7,875,107000,5000,246000,3,"01","3","PK","06","21","Urban"
"4700750","47",7,4924,665000,29000,1831000,12,"03","3","PK","12","42","Rural"
"4700780","47",7,4520,869000,26000,1111000,8,"03","3","PK","12","32","Town"
"4700850","47",7,1800,297000,9000,491000,5,"03","3","PK","12","41","Rural"
"4700900","47",7,7646,1178000,41000,2107000,12,"03","3","PK","12","41","Rural"
"4700930","47",7,742,0,4000,198000,1,"01","3","PK","08","32","Town"
"4700960","47",7,1679,0,9000,417000,4,"03","3","PK","12","43","Rural"
"4700990","47",7,2356,420000,16000,766000,6,"03","3","PK","12","32","Town"
"4701020","47",7,8432,1765000,43000,1796000,15,"03","3","PK","12","42","Rural"
"4701050","47",7,3452,720000,20000,1024000,8,"03","3","PK","12","41","Rural"
"4701080","47",7,3431,376000,21000,1091000,4,"03","3","PK","12","32","Town"
"4701110","47",7,2069,399000,10000,404000,6,"03","3","PK","12","22","Urban"
"4701140","47",7,405,79000,2000,117000,1,"01","3","PK","08","32","Town"
"4701170","47",7,3648,131000,23000,1967000,10,"03","3","PK","12","42","Rural"
"4701200","47",7,1044,199000,6000,247000,3,"03","3","PK","09","32","Town"
"4701230","47",7,2464,233000,15000,861000,6,"03","3","PK","12","43","Rural"
"4701260","47",7,3727,873000,18000,662000,8,"01","3","PK","08","13","Urban"
"4701290","47",7,6234,1432000,34000,1512000,11,"03","3","PK","12","32","Town"
"4701390","47",7,633,132000,4000,210000,2,"03","3","PK","12","42","Rural"
"4701400","47",7,2796,701000,17000,672000,8,"03","3","PK","12","31","Town"
"4701410","47",7,4451,735000,26000,1157000,8,"03","3","PK","12","42","Rural"
"4701440","47",7,3546,580000,20000,1027000,7,"03","3","PK","12","42","Rural"
"4701470","47",7,7666,1630000,43000,2035000,16,"03","3","PK","12","41","Rural"
"4701500","47",7,2858,628000,14000,514000,7,"03","3","PK","12","32","Town"
"4701530","47",7,2312,0,13000,914000,7,"03","3","PK","12","42","Rural"
"4701590","47",7,41230,5870000,181000,9695000,77,"03","3","PK","12","12","Urban"
"4701620","47",7,1105,0,31000,439000,2,"03","3","PK","12","42","Rural"
"4701650","47",7,4433,487000,25000,1640000,9,"03","3","PK","12","43","Rural"
"4701680","47",7,3885,710000,21000,1120000,10,"03","3","PK","12","33","Town"
"4701740","47",7,7869,1179000,41000,1942000,17,"03","3","PK","12","41","Rural"
"4701770","47",7,3484,211000,22000,1544000,7,"03","3","PK","12","32","Town"
"4701800","47",7,3561,0,20000,990000,10,"03","3","PK","12","42","Rural"
"4701830","47",7,3235,649000,17000,918000,6,"03","3","PK","12","42","Rural"
"4701860","47",7,3960,780000,21000,1092000,8,"03","3","PK","12","42","Rural"
"4701890","47",7,723,102000,4000,235000,2,"03","3","PK","12","42","Rural"
"4701920","47",7,1560,331000,9000,373000,5,"03","3","PK","12","42","Rural"
"4701950","47",7,1500,149000,9000,808000,4,"03","3","PK","12","31","Town"
"4701980","47",7,3162,727000,17000,830000,7,"03","3","PK","12","41","Rural"
"4702010","47",7,1312,203000,8000,379000,3,"03","3","PK","12","42","Rural"
"4702070","47",7,1695,256000,10000,603000,4,"03","3","PK","12","43","Rural"
"4702100","47",7,7602,1092000,37000,1698000,11,"03","3","PK","12","41","Rural"
